Team,Season,Bye Week,PFR_ABV
New York Jets,1990,14,nyj
New York Jets,1991,9,nyj
New York Jets,1992,7,nyj
New York Jets,1993,3,nyj
New York Jets,1993,7,nyj
New York Jets,1994,8,nyj
New York Jets,1995,11,nyj
New York Jets,1996,10,nyj
New York Jets,1997,9,nyj
New York Jets,1998,4,nyj
New York Jets,1999,8,nyj
New York Jets,2000,5,nyj
New York Jets,2001,11,nyj
New York Jets,2002,6,nyj
New York Jets,2003,5,nyj
New York Jets,2004,3,nyj
New York Jets,2005,8,nyj
New York Jets,2006,9,nyj
New York Jets,2007,10,nyj
New York Jets,2008,5,nyj
New York Jets,2009,9,nyj
New York Jets,2010,7,nyj
New York Jets,2011,8,nyj
New York Jets,2012,9,nyj
New York Jets,2013,10,nyj
New York Jets,2014,11,nyj
New York Jets,2015,5,nyj
New York Jets,2016,11,nyj
New York Jets,2017,11,nyj
New York Jets,2018,11,nyj
New York Jets,2019,4,nyj
New York Jets,2020,10,nyj
New York Jets,2021,6,nyj
New York Jets,2022,10,nyj
New York Jets,2023,7,nyj
New York Jets,2024,12,nyj
