Team,Season,Bye Week,PFR_ABV
Philadelphia Eagles,1990,5,phi
Philadelphia Eagles,1991,8,phi
Philadelphia Eagles,1992,4,phi
Philadelphia Eagles,1993,4,phi
Philadelphia Eagles,1993,8,phi
Philadelphia Eagles,1994,4,phi
Philadelphia Eagles,1995,8,phi
Philadelphia Eagles,1996,6,phi
Philadelphia Eagles,1997,4,phi
Philadelphia Eagles,1998,8,phi
Philadelphia Eagles,1999,16,phi
Philadelphia Eagles,2000,16,phi
Philadelphia Eagles,2001,5,phi
Philadelphia Eagles,2002,6,phi
Philadelphia Eagles,2003,3,phi
Philadelphia Eagles,2004,5,phi
Philadelphia Eagles,2005,6,phi
Philadelphia Eagles,2006,9,phi
Philadelphia Eagles,2007,5,phi
Philadelphia Eagles,2008,7,phi
Philadelphia Eagles,2009,4,phi
Philadelphia Eagles,2010,8,phi
Philadelphia Eagles,2011,7,phi
Philadelphia Eagles,2012,7,phi
Philadelphia Eagles,2013,12,phi
Philadelphia Eagles,2014,7,phi
Philadelphia Eagles,2015,8,phi
Philadelphia Eagles,2016,4,phi
Philadelphia Eagles,2017,10,phi
Philadelphia Eagles,2018,9,phi
Philadelphia Eagles,2019,10,phi
Philadelphia Eagles,2020,9,phi
Philadelphia Eagles,2021,14,phi
Philadelphia Eagles,2022,7,phi
Philadelphia Eagles,2023,10,phi
Philadelphia Eagles,2024,5,phi
